codelist_code,term_code,term_value,collected_value,term_preferred_term,term_synonyms
C74456,C186111,EXTENSOR DIGITI MINIMI MUSCLE,EXTENSOR DIGITI MINIMI MUSCLE,Extensor Digiti Minimi Muscle,
C74456,C163514,EXTENSOR DIGITORUM BREVIS MUSCLE,EXTENSOR DIGITORUM BREVIS MUSCLE,Extensor Digitorum Brevis Muscle,
C74456,C52918,EXTENSOR DIGITORUM LONGUS MUSCLE,EXTENSOR DIGITORUM LONGUS MUSCLE,Extensor Digitorum Longus,Long Digital Extensor Muscle
C74456,C52916,EXTENSOR DIGITORUM MUSCLE,EXTENSOR DIGITORUM MUSCLE,Extensor Digitorum Communis,
C74456,C163515,EXTENSOR HALLUCIS BREVIS MUSCLE,EXTENSOR HALLUCIS BREVIS MUSCLE,Extensor Hallucis Brevis Muscle,
C74456,C186112,EXTENSOR HALLUCIS LONGUS MUSCLE,EXTENSOR HALLUCIS LONGUS MUSCLE,Extensor Hallucis Longus Muscle,
C74456,C186113,EXTENSOR INDICIS PROPRIUS MUSCLE,EXTENSOR INDICIS PROPRIUS MUSCLE,Extensor Indicis Proprius Muscle,
C74456,C186114,EXTENSOR POLLICIS BREVIS MUSCLE,EXTENSOR POLLICIS BREVIS MUSCLE,Extensor Pollicis Brevis Muscle,
C74456,C186115,EXTENSOR POLLICIS LONGUS MUSCLE,EXTENSOR POLLICIS LONGUS MUSCLE,Extensor Pollicis Longus Muscle,
C74456,C12498,EXTERNAL ACOUSTIC MEATUS,EXTERNAL ACOUSTIC MEATUS,External Acoustic Meatus,Auditory Canal; Ear Canal; External Acoustic Meatus; External Auditory Canal; External Auditory Meatus
C74456,C32558,EXTERNAL ILIAC ARTERY,EXTERNAL ILIAC ARTERY,External Iliac Artery,
C74456,C88143,EXTERNAL ILIAC LYMPH NODE,EXTERNAL ILIAC LYMPH NODE,External Iliac Lymph Node,
C74456,C165584,EXTRAABDOMINAL LYMPH NODE,EXTRAABDOMINAL LYMPH NODE,Extra-Abdominal Lymph Node,
C74456,C32573,EXTRAHEPATIC BILE DUCT,EXTRAHEPATIC BILE DUCT,Extrahepatic Bile Duct,
C74456,C174319,EXTRAHEPATIC PERIHILAR BILE DUCT REGION,EXTRAHEPATIC PERIHILAR BILE DUCT REGION,Extrahepatic Perihilar Bile Duct Region,
C74456,C202395,EXTRANODAL REGION,EXTRANODAL REGION,Extranodal Region,
C74456,C33199,EXTRAOCULAR MUSCLE,EXTRAOCULAR MUSCLE,Extraocular Muscle,Oculomotor Muscle
C74456,C176325,EYE BULGE,EYE BULGE,Eye Bulge,
C74456,C12401,EYE,EYE,Eye,Eyeball
C74456,C12667,"EYE, ANTERIOR CHAMBER","EYE, ANTERIOR CHAMBER",Anterior Chamber of the Eye,
C74456,C12668,"EYE, ANTERIOR SEGMENT","EYE, ANTERIOR SEGMENT",Anterior Eye Segment,
C74456,C33885,"EYE, VITREOUS CHAMBER","EYE, VITREOUS CHAMBER",Vitreous Chamber,Postremal Chamber
C74456,C32575,EYEBROW,EYEBROW,Eyebrow,
C74456,C32576,EYELASH,EYELASH,Eyelash,
C74456,C12713,EYELID,EYELID,Eyelid,Palpebra
C74456,C13071,FACE,FACE,Face,
C74456,C32577,FACET JOINT,FACET JOINT,Facet Joint,Facet Joint
C74456,C63706,FACIAL BONE,FACIAL BONE,Facial Bone,Facial Bone
C74456,C13073,FACIAL MUSCLE,FACIAL MUSCLE,Facial Muscle,Mimetic Muscles
C74456,C12714,FACIAL NERVE,FACIAL NERVE,Facial Nerve,Seventh Cranial Nerve
C74456,C32582,FALCIFORM LIGAMENT,FALCIFORM LIGAMENT,Falciform Ligament,
C74456,C12403,FALLOPIAN TUBE,FALLOPIAN TUBE,Fallopian Tube,Fallopian Tube
C74456,C13108,FASCIA,FASCIA,Fascia,
C74456,C176326,FAT PAD,FAT PAD,Fat Pad,
C74456,C181454,FAUCES,FAUCES,Oropharyngeal Isthmus,Isthmus of Fauces; Oropharyngeal Isthmus
C74456,C61600,FEMALE GENITALIA,FEMALE GENITALIA,Female Genitalia,Female Genitalia
C74456,C12402,FEMALE REPRODUCTIVE SYSTEM,FEMALE REPRODUCTIVE SYSTEM,Female Reproductive System,
C74456,C12715,FEMORAL ARTERY,FEMORAL ARTERY,Femoral Artery,
C74456,C114186,FEMORAL CONDYLE,FEMORAL CONDYLE,Femoral Condyle,
C74456,C32718,FEMORAL HEAD,FEMORAL HEAD,Head of the Femur,Femur Head
C74456,C98183,FEMORAL LYMPH NODE,FEMORAL LYMPH NODE,Femoral Lymph Node,
C74456,C61563,FEMORAL NECK,FEMORAL NECK,Femoral Neck,Femoral Neck
C74456,C12716,FEMORAL VEIN,FEMORAL VEIN,Femoral Vein,
C74456,C116167,FEMORO-POPLITEAL PERIPHERAL ARTERY,FEMORO-POPLITEAL PERIPHERAL ARTERY,Femoropopliteal Artery Segment,
C74456,C96209,FEMUR SHAFT,FEMUR SHAFT,Femoral Shaft,
C74456,C12717,FEMUR,FEMUR,Femur,"Bone, Femoral"
C74456,C120670,FIBULA SHAFT,FIBULA SHAFT,Fibular Shaft,
C74456,C12718,FIBULA,FIBULA,Fibula,
C74456,C154772,FIBULAR VEIN,FIBULAR VEIN,Fibular Vein,
C74456,C163516,FINGER EXTENSOR MUSCLES,FINGER EXTENSOR MUSCLES,Finger Extensors,
C74456,C161384,FINGER EXTENSOR TENDONS,FINGER EXTENSOR TENDONS,Finger Extensor Tendons,
C74456,C163517,FINGER FLEXOR MUSCLES,FINGER FLEXOR MUSCLES,Finger Flexors,
C74456,C161383,FINGER FLEXOR TENDONS,FINGER FLEXOR TENDONS,Finger Flexor Tendons,
C74456,C32608,FINGER,FINGER,Finger,Finger
C74456,C32609,FINGERNAIL,FINGERNAIL,Fingernail,Fingernail
C74456,C187834,FINGERTIP,FINGERTIP,Fingertip,
C74456,C102297,FIRST DIAGONAL BRANCH ARTERY,FIRST DIAGONAL BRANCH ARTERY,First Diagonal Branch Artery,1ST DIAG; FIRST DIAGONAL BRANCH ARTERY SEGMENT
C74456,C139197,FIRST DORSAL INTEROSSEOUS MUSCLE OF THE FOOT,FIRST DORSAL INTEROSSEOUS MUSCLE OF THE FOOT,First Dorsal Interosseous Muscle of the Foot,
C74456,C139198,FIRST DORSAL INTEROSSEOUS MUSCLE OF THE HAND,FIRST DORSAL INTEROSSEOUS MUSCLE OF THE HAND,First Dorsal Interosseous Muscle of the Hand,
C74456,C102298,FIRST LEFT POSTEROLATERAL BRANCH ARTERY,FIRST LEFT POSTEROLATERAL BRANCH ARTERY,First Left Posterolateral Branch Artery,1ST LPL; FIRST LEFT POSTEROLATERAL BRANCH ARTERY SEGMENT
C74456,C102299,FIRST OBTUSE MARGINAL BRANCH ARTERY,FIRST OBTUSE MARGINAL BRANCH ARTERY,First Obtuse Marginal Branch Artery,1ST OM; FIRST OBTUSE MARGINAL BRANCH ARTERY SEGMENT
C74456,C102300,FIRST RIGHT POSTEROLATERAL ARTERY,FIRST RIGHT POSTEROLATERAL ARTERY,First Right Posterolateral Artery,1ST RPL; FIRST RIGHT POSTEROLATERAL ARTERY SEGMENT
C74456,C93028,FLANK,FLANK,Flank,
C74456,C53155,FLEXOR CARPI RADIALIS MUSCLE,FLEXOR CARPI RADIALIS MUSCLE,Flexor Carpi Radialis,
C74456,C53156,FLEXOR CARPI ULNARIS MUSCLE,FLEXOR CARPI ULNARIS MUSCLE,Flexor Carpi Ulnaris,
C74456,C163518,FLEXOR DIGITORUM BREVIS MUSCLE,FLEXOR DIGITORUM BREVIS MUSCLE,Flexor Digitorum Brevis Muscle,
C74456,C52921,FLEXOR DIGITORUM LONGUS MUSCLE,FLEXOR DIGITORUM LONGUS MUSCLE,Flexor Digitorum Longus,
C74456,C52923,FLEXOR DIGITORUM PROFUNDUS MUSCLE,FLEXOR DIGITORUM PROFUNDUS MUSCLE,Flexor Digitorum Profundus,
C74456,C150850,FLEXOR DIGITORUM SUPERFICIALIS MUSCLE,FLEXOR DIGITORUM SUPERFICIALIS MUSCLE,Flexor Digitorum Superficialis Muscle,
C74456,C165998,FLEXOR HALLUCIS BREVIS MUSCLE,FLEXOR HALLUCIS BREVIS MUSCLE,Flexor Hallucis Brevis Muscle,
C74456,C52925,FLEXOR HALLUCIS LONGUS MUSCLE,FLEXOR HALLUCIS LONGUS MUSCLE,Flexor Hallucis Longus,
C74456,C186116,FLEXOR POLLICIS BREVIS MUSCLE,FLEXOR POLLICIS BREVIS MUSCLE,Flexor Pollicis Brevis Muscle,
C74456,C150851,FLEXOR POLLICIS LONGUS MUSCLE,FLEXOR POLLICIS LONGUS MUSCLE,Flexor Pollicis Longus Muscle,
C74456,C54187,FLOOR OF MOUTH,FLOOR OF MOUTH,Floor of Mouth,
C74456,C32621,FONTANELLE,FONTANELLE,Fontanelle,Fontanel; Soft Spot
C74456,C52839,FOOT DIGIT 1,FOOT DIGIT 1,Foot Digit 1,Big Toe
C74456,C52840,FOOT DIGIT 2,FOOT DIGIT 2,Foot Digit 2,Index Toe
C74456,C52841,FOOT DIGIT 3,FOOT DIGIT 3,Foot Digit 3,Middle Toe
C74456,C52842,FOOT DIGIT 4,FOOT DIGIT 4,Foot Digit 4,Fourth Toe
C74456,C52843,FOOT DIGIT 5,FOOT DIGIT 5,Foot Digit 5,Little Toe
C74456,C52772,FOOT PHALANX,FOOT PHALANX,Foot Phalanx,Foot Phalanx
C74456,C32622,FOOT,FOOT,Foot,
C74456,C186117,FOREARM PRONATOR MUSCLES,FOREARM PRONATOR MUSCLES,Forearm Pronator Muscles,
C74456,C32628,FOREARM,FOREARM,Forearm,Forearm
C74456,C40185,FOREBRAIN,FOREBRAIN,Forebrain,
C74456,C89803,FOREHEAD,FOREHEAD,Forehead,Forehead
C74456,C176321,FORELIMB,FORELIMB,Fore Limb,
C74456,C186118,FOREPAW PHALANX,FOREPAW PHALANX,Forepaw Phalanx,Forepaw Phalange
C74456,C33049,FORESKIN,FORESKIN,Male Prepuce,Male Prepuce
C74456,C26463,FOVEA,FOVEA,Fovea Centralis,Fovea Centralis
C74456,C32635,FRONTAL BONE,FRONTAL BONE,Frontal Bone,
C74456,C177766,FRONTAL CORTEX,FRONTAL CORTEX,Frontal Lobe Cortex,
C74456,C12352,FRONTAL LOBE,FRONTAL LOBE,Frontal Lobe,Frontal Lobe
C74456,C12277,FRONTAL SINUS,FRONTAL SINUS,Frontal Sinus,Frontal Sinus
C74456,C186119,FRONTALIS MUSCLE,FRONTALIS MUSCLE,Frontalis Muscle,
C74456,C225632,FRONTO-PARIETAL REGION,FRONTO-PARIETAL REGION,Fronto-Parietal Region,
C74456,C225633,FRONTO-TEMPORAL REGION,FRONTO-TEMPORAL REGION,Fronto-Temporal Region,
C74456,C135172,FUNDUS OF THE EYE,FUNDUS OF THE EYE,Eye Fundus,
C74456,C12257,FUNDUS OF THE STOMACH,FUNDUS OF THE STOMACH,Fundus of the Stomach,
C74456,C12315,FUNDUS UTERI,FUNDUS UTERI,Fundus Uteri,
C74456,C12377,GALLBLADDER,GALLBLADDER,Gallbladder,
C74456,C12719,GANGLION,GANGLION,Ganglion,Ganglia; Ganglion; Neural Ganglion
C74456,C12256,GASTRIC CARDIA,GASTRIC CARDIA,Gastric Cardia,
C74456,C154773,GASTRIC CURVATURE LYMPH NODE,GASTRIC CURVATURE LYMPH NODE,Gastric Curvature Lymph Node,
C74456,C32656,GASTRIC MUCOSA,GASTRIC MUCOSA,Gastric Mucosa,Stomach Mucosa
C74456,C32666,GASTROCNEMIUS MUSCLE,GASTROCNEMIUS MUSCLE,Gastrocnemius Muscle,
C74456,C163519,"GASTROCNEMIUS MUSCLE, LATERAL HEAD","GASTROCNEMIUS MUSCLE, LATERAL HEAD",Lateral Head of Gastrocnemius Muscle,
C74456,C163520,"GASTROCNEMIUS MUSCLE, MEDIAL HEAD","GASTROCNEMIUS MUSCLE, MEDIAL HEAD",Medial Head of Gastrocnemius Muscle,
C74456,C32668,GASTROESOPHAGEAL JUNCTION,GASTROESOPHAGEAL JUNCTION,Gastroesophageal Junction,Gastroesophageal Junction
C74456,C12378,GASTROINTESTINAL SYSTEM,GASTROINTESTINAL SYSTEM,Digestive System,Gastrointestinal System
C74456,C34082,GASTROINTESTINAL TRACT,GASTROINTESTINAL TRACT,Gastrointestinal Tract,Gastrointestinal Tract
C74456,C33010,"GASTROINTESTINAL TRACT, LOWER","GASTROINTESTINAL TRACT, LOWER",Lower Gastrointestinal Tract,Lower Gastrointestinal Tract
C74456,C176241,"GASTROINTESTINAL TRACT, LOWER, WALL","GASTROINTESTINAL TRACT, LOWER, WALL",Lower Gastrointestinal Tract Wall,
C74456,C33837,"GASTROINTESTINAL TRACT, UPPER","GASTROINTESTINAL TRACT, UPPER",Upper Gastrointestinal Tract,Upper Gastrointestinal Tract
C74456,C176314,"GASTROINTESTINAL TRACT, UPPER, WALL","GASTROINTESTINAL TRACT, UPPER, WALL",Upper Gastrointestinal Tract Wall,
C74456,C176233,"GASTROINTESTINAL TRACT, WALL","GASTROINTESTINAL TRACT, WALL",Gastrointestinal Tract Wall,
C74456,C52928,GENIOGLOSSUS MUSCLE,GENIOGLOSSUS MUSCLE,Genioglossus,
C74456,C176324,GENITAL TUBERCLE,GENITAL TUBERCLE,Genital Tubercle,
C74456,C25177,GENITALIA,GENITALIA,Genitalia,
C74456,C12810,GENITOURINARY SYSTEM,GENITOURINARY SYSTEM,Genitourinary System,
C74456,C32677,GINGIVA,GINGIVA,Gingiva,Gum
C74456,C139199,GINGIVAL MUCOSA,GINGIVAL MUCOSA,Gingival Mucosa,
C74456,C32682,GLENOID FOSSA,GLENOID FOSSA,Glenoid Fossa,Glenoid Fossa
C74456,C12449,GLOBUS PALLIDUS,GLOBUS PALLIDUS,Globus Pallidus,
C74456,C13250,GLOMERULUS,GLOMERULUS,Glomerulus,
C74456,C12723,GLOSSOPHARYNGEAL NERVE,GLOSSOPHARYNGEAL NERVE,Glossopharyngeal Nerve,
C74456,C12724,GLOTTIS,GLOTTIS,Glottis,Glottis
C74456,C128630,"GLOTTIS, ANTERIOR COMMISSURE","GLOTTIS, ANTERIOR COMMISSURE",Laryngeal Anterior Commissure,Laryngeal Anterior Commissure
C74456,C164282,"GLOTTIS, POSTERIOR COMMISSURE","GLOTTIS, POSTERIOR COMMISSURE",Laryngeal Posterior Commissure,Laryngeal Posterior Commissure
C74456,C78205,GLUTEAL MUSCLE,GLUTEAL MUSCLE,Gluteal Muscle,
C74456,C52560,GLUTEUS MAXIMUS,GLUTEUS MAXIMUS,Gluteus Maximus,
C74456,C52933,GLUTEUS MEDIUS,GLUTEUS MEDIUS,Gluteus Medius,
C74456,C12725,GONAD,GONAD,Gonad,
C74456,C52935,GRACILIS MUSCLE,GRACILIS MUSCLE,Gracilis,
C74456,C33004,GREAT SAPHENOUS VEIN,GREAT SAPHENOUS VEIN,Long Saphenous Vein,Long Saphenous Vein
C74456,C32698,GREAT TROCHANTER,GREAT TROCHANTER,Great Trochanter,Great Trochanter
C74456,C102955,GREAT VESSELS,GREAT VESSELS,Great Blood Vessel,
C74456,C12262,GREATER CURVATURE OF THE STOMACH,GREATER CURVATURE OF THE STOMACH,Greater Curvature of the Stomach,Greater Curvature of the Stomach
C74456,C12936,GUT-ASSOCIATED LYMPHOID TISSUE,GUT-ASSOCIATED LYMPHOID TISSUE,Gut-Associated Lymphoid Tissue,GALT
C74456,C32706,HAIR BULB,HAIR BULB,Hair Bulb,
C74456,C13317,HAIR FOLLICLE,HAIR FOLLICLE,Hair Follicle,
C74456,C32711,HAIR ROOT,HAIR ROOT,Hair Root,
C74456,C33543,HAIR SHAFT,HAIR SHAFT,Shaft of the Hair,Shaft of the Hair
C74456,C32705,HAIR,HAIR,Hair,Hair
C74456,C12860,HAMATE BONE,HAMATE BONE,Hamate Bone,Hamate Bone
C74456,C53042,HAMSTRING MUSCLE,HAMSTRING MUSCLE,Hamstring,
C74456,C178000,HAND DIGIT 1 ARTERY,HAND DIGIT 1 ARTERY,Hand Digit 1 Artery,Thumb Artery
C74456,C52834,HAND DIGIT 1,HAND DIGIT 1,Hand Digit 1,Thumb
C74456,C177996,HAND DIGIT 2 ARTERY,HAND DIGIT 2 ARTERY,Hand Digit 2 Artery,Index Finger Artery
C74456,C52835,HAND DIGIT 2,HAND DIGIT 2,Hand Digit 2,Index Finger
C74456,C177998,HAND DIGIT 3 ARTERY,HAND DIGIT 3 ARTERY,Hand Digit 3 Artery,Middle Finger Artery
C74456,C52836,HAND DIGIT 3,HAND DIGIT 3,Hand Digit 3,Middle Finger
C74456,C177999,HAND DIGIT 4 ARTERY,HAND DIGIT 4 ARTERY,Hand Digit 4 Artery,Ring Finger Artery
C74456,C52837,HAND DIGIT 4,HAND DIGIT 4,Hand Digit 4,Ring Finger
C74456,C177997,HAND DIGIT 5 ARTERY,HAND DIGIT 5 ARTERY,Hand Digit 5 Artery,Little Finger Artery
C74456,C52838,HAND DIGIT 5,HAND DIGIT 5,Hand Digit 5,Little Finger
C74456,C52771,HAND PHALANX,HAND PHALANX,Hand Phalanx,Hand Phalanx
C74456,C32712,HAND,HAND,Hand,Hand
C74456,C12230,HARD PALATE,HARD PALATE,Hard Palate,
C74456,C12418,HEAD AND NECK,HEAD AND NECK,Head and Neck,
C74456,C32719,HEAD OF THE FIBULA,HEAD OF THE FIBULA,Head of the Fibula,Fibular Head
C74456,C32720,HEAD OF THE HUMERUS,HEAD OF THE HUMERUS,Head of the Humerus,Head of the Humerus
C74456,C225634,HEAD SOFT TISSUE,HEAD SOFT TISSUE,Head Soft Tissue,
C74456,C12419,HEAD,HEAD,Head,
C74456,C12727,HEART,HEART,Heart,
C74456,C32126,"HEART, APEX","HEART, APEX",Apex of the Heart,Apex of the Heart
C74456,C12728,"HEART, ATRIUM","HEART, ATRIUM",Cardiac Atrium,Cardiac Atrium
C74456,C48589,"HEART, BASE","HEART, BASE",Base of the Heart,Base of the Heart
C74456,C34241,"HEART, FORAMEN OVALE","HEART, FORAMEN OVALE",Foramen Ovale of the Fetal Heart,
C74456,C127643,"HEART, LEFT ATRIAL APPENDAGE","HEART, LEFT ATRIAL APPENDAGE",Left Atrial Appendage,
C74456,C12869,"HEART, LEFT ATRIUM","HEART, LEFT ATRIUM",Left Atrium,
C74456,C12871,"HEART, LEFT VENTRICLE","HEART, LEFT VENTRICLE",Left Ventricle,Left Ventricle
C74456,C221579,"HEART, LEFT VENTRICLE, APEX SHORT AXIS","HEART, LEFT VENTRICLE, APEX SHORT AXIS",Left Ventricle Apex Short Axis,
C74456,C221577,"HEART, LEFT VENTRICLE, BASE SHORT AXIS","HEART, LEFT VENTRICLE, BASE SHORT AXIS",Left Ventricle Base Short Axis,
C74456,C221578,"HEART, LEFT VENTRICLE, MID-LEVEL SHORT AXIS","HEART, LEFT VENTRICLE, MID-LEVEL SHORT AXIS",Left Ventricle Mid-level Short Axis,
C74456,C127644,"HEART, LEFT VENTRICULAR OUTFLOW TRACT","HEART, LEFT VENTRICULAR OUTFLOW TRACT",Left Ventricular Outflow Tract,
C74456,C127645,"HEART, LEFT VENTRICULAR WALL","HEART, LEFT VENTRICULAR WALL",Left Ventricular Wall,
C74456,C127646,"HEART, RIGHT ATRIAL APPENDAGE","HEART, RIGHT ATRIAL APPENDAGE",Right Atrial Appendage,
C74456,C12868,"HEART, RIGHT ATRIUM","HEART, RIGHT ATRIUM",Right Atrium,
C74456,C12870,"HEART, RIGHT VENTRICLE","HEART, RIGHT VENTRICLE",Right Ventricle,Right Ventricle
C74456,C201433,"HEART, RIGHT VENTRICLE, BASE","HEART, RIGHT VENTRICLE, BASE",Base of the Right Ventricle,
C74456,C201434,"HEART, RIGHT VENTRICLE, MID-LEVEL","HEART, RIGHT VENTRICLE, MID-LEVEL",Mid Level Right Ventricle,
C74456,C127647,"HEART, RIGHT VENTRICULAR FREE WALL","HEART, RIGHT VENTRICULAR FREE WALL",Right Ventricular Free Wall,
C74456,C127648,"HEART, RIGHT VENTRICULAR OUTFLOW TRACT","HEART, RIGHT VENTRICULAR OUTFLOW TRACT",Right Ventricular Outflow Tract,
C74456,C127649,"HEART, RIGHT VENTRICULAR WALL","HEART, RIGHT VENTRICULAR WALL",Right Ventricular Wall,
C74456,C49485,"HEART, SEPTUM","HEART, SEPTUM",Heart Septum,Cardiac Septum
C74456,C12730,"HEART, VENTRICLE","HEART, VENTRICLE",Cardiac Ventricle,Cardiac Ventricle
C74456,C186120,"HEART, VENTRICULAR CHAMBER","HEART, VENTRICULAR CHAMBER","Heart, Ventricular Chamber",
C74456,C119295,"HEART, VENTRICULAR WALL","HEART, VENTRICULAR WALL",Ventricular Wall of the Heart,
C74456,C161381,HEEL OF THE FOOT,HEEL OF THE FOOT,Heel of the Foot,
C74456,C161382,HEEL OF THE HAND,HEEL OF THE HAND,Heel of the Hand,Heel of the Palm
C74456,C32729,HEPATIC ARTERY,HEPATIC ARTERY,Common Hepatic Artery,
